resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,273000.0,3.1,2.5,-0.67,0.01,0.4016,0.038,0.1018,273000.0,24.0,1.91168,0.07,6.4
5.0,274000.0,2.8,2.8,-0.67,0.01,0.40098,0.038,0.103,273000.0,24.0,1.90163,0.08,6.4
5.0,275000.0,3.1,2.5,-0.65,0.01,0.3989,0.038,0.1014,275000.0,24.0,1.87867,0.08,6.4
5.0,276000.0,3.1,2.5,-0.66,0.014,0.39617,0.031,0.101,276000.0,24.0,1.87464,0.08,6.4
5.0,277000.0,3.1,2.5,-0.68,0.012,0.39401,0.038,0.1012,276000.0,24.0,1.8641,0.07,6.4
5.0,278000.0,3.1,2.5,-0.68,0.01,0.39212,0.031,0.1,278000.0,24.0,1.84894,0.08,6.4
5.0,279000.0,2.8,2.8,-0.68,0.01,0.38875,0.038,0.0999,279000.0,24.0,1.84121,0.08,6.4
5.0,280000.0,3.1,2.5,-0.65,0.01,0.3881,0.031,0.1008,279000.0,24.0,1.83789,0.08,6.4
5.0,281000.0,2.8,2.8,-0.68,0.012,0.38582,9.9e+37,0.0986,281000.0,24.0,1.83043,0.07,6.4
5.0,282000.0,2.8,2.8,-0.69,0.01,0.38525,0.038,0.0988,282000.0,24.0,1.81317,0.08,6.4
5.0,283000.0,3.1,2.5,-0.68,0.01,0.38127,0.038,0.0991,282000.0,24.0,1.80286,0.07,6.4
5.0,284000.0,3.1,2.5,-0.69,0.01,0.37954,0.031,0.1009,284000.0,24.0,1.80732,0.08,6.4
5.0,285000.0,2.5,2.5,-0.69,0.01,0.37922,0.031,0.098,286000.0,24.0,1.77807,0.07,6.4
5.0,286000.0,3.1,2.5,-0.65,0.01,0.37764,0.031,0.0977,286000.0,24.0,1.76835,0.08,6.4
5.0,287000.0,3.1,2.5,-0.67,0.014,0.37548,0.031,0.0983,287000.0,24.0,1.76764,0.07,6.4
5.0,288000.0,2.5,2.5,-0.65,0.01,0.37363,0.031,0.0969,287000.0,24.0,1.76235,0.07,6.4
5.0,289000.0,2.8,2.8,-0.69,0.01,0.37326,0.031,0.0976,289000.0,24.0,1.74766,0.07,6.4
5.0,290000.0,3.1,2.5,-0.64,0.01,0.36967,0.031,0.0964,291000.0,24.0,1.74931,0.07,6.4
5.0,291000.0,2.5,2.5,-0.68,0.01,0.36767,0.031,0.0954,291000.0,24.0,1.73759,0.08,6.0
5.0,292000.0,2.5,2.5,-0.7,0.01,0.36739,0.031,0.0958,292000.0,24.0,1.73619,0.07,6.4
5.0,293000.0,2.5,2.5,-0.65,0.01,0.36569,0.031,0.0947,292000.0,24.0,1.71328,0.08,6.0
5.0,294000.0,2.5,2.5,-0.68,0.01,0.36482,0.031,0.0947,294000.0,24.0,1.69942,0.06,6.0
5.0,295000.0,2.5,2.5,-0.66,0.01,0.36429,0.031,0.0928,296000.0,24.0,1.70031,0.08,6.0
5.0,296000.0,2.5,2.5,-0.65,0.01,0.35933,0.031,0.0938,296000.0,24.0,1.68801,0.08,6.0
5.0,297000.0,2.8,2.5,-0.7,0.01,0.35888,0.031,0.0949,298000.0,24.0,1.67587,0.07,6.0
5.0,298000.0,2.5,2.5,-0.67,0.01,0.35758,0.031,0.0948,298000.0,24.0,1.66205,0.08,6.0
5.0,299000.0,2.8,2.8,-0.67,0.01,0.35444,0.031,0.095,299000.0,24.0,1.66928,0.07,6.0
5.0,300000.0,2.5,2.5,-0.67,0.01,0.35418,0.031,0.0942,299000.0,24.0,1.65603,0.07,5.6
5.0,301000.0,2.5,2.5,-0.65,0.01,0.35269,0.031,0.0945,301000.0,24.0,1.65214,0.09,6.0
5.0,302000.0,2.5,2.5,-0.65,0.01,0.35062,0.031,0.0931,301000.0,24.0,1.63909,0.07,6.0
5.0,303000.0,2.5,2.5,-0.65,0.01,0.34967,0.031,0.0945,303000.0,24.0,1.62955,0.08,5.6
5.0,304000.0,2.8,2.8,-0.69,0.01,0.34669,0.038,0.0915,305000.0,24.0,1.63393,0.07,6.0
5.0,305000.0,2.5,2.5,-0.66,0.01,0.34561,0.038,0.0902,305000.0,24.0,1.61711,0.09,6.0
5.0,306000.0,2.5,2.5,-0.66,0.01,0.34351,0.031,0.0905,305000.0,24.0,1.60719,0.07,6.0
5.0,307000.0,2.5,2.5,-0.66,0.01,0.34351,0.031,0.092,307000.0,24.0,1.60173,0.08,6.0
5.0,308000.0,2.5,2.5,-0.67,0.01,0.34159,9.9e+37,0.0907,309000.0,24.0,1.59632,0.09,6.0
5.0,309000.0,2.5,2.5,-0.68,0.01,0.34057,0.031,0.0927,309000.0,24.0,1.57919,0.08,5.6
5.0,310000.0,2.5,2.5,-0.66,0.01,0.33873,0.031,0.0945,311000.0,24.0,1.57932,0.07,5.6
5.0,311000.0,2.5,2.5,-0.67,0.01,0.33811,9.9e+37,0.091,311000.0,24.0,1.57012,0.08,5.6
5.0,312000.0,2.5,2.5,-0.68,0.01,0.33633,0.031,0.0901,313000.0,24.0,1.57189,0.08,5.6
5.0,313000.0,2.5,2.5,-0.67,0.01,0.33402,0.031,0.0896,313000.0,24.0,1.57267,0.07,5.6
5.0,314000.0,2.5,2.5,-0.68,0.01,0.33368,0.031,0.0894,314000.0,24.0,1.55199,0.07,5.6
5.0,315000.0,2.5,2.5,-0.66,0.01,0.33232,0.031,0.088,316000.0,24.0,1.54495,0.07,5.6
5.0,316000.0,2.5,2.5,-0.63,0.01,0.33193,0.031,0.0881,316000.0,24.0,1.53989,0.07,5.6
5.0,317000.0,2.5,2.5,-0.66,0.014,0.33222,9.9e+37,0.0884,316000.0,24.0,1.53206,0.09,5.6
5.0,318000.0,2.5,2.5,-0.67,0.01,0.32814,9.9e+37,0.0894,316000.0,24.0,1.52269,0.07,5.6
5.0,319000.0,2.5,2.5,-0.66,0.01,0.32633,0.031,0.09,318000.0,24.0,1.5135,0.08,5.6
