resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,200000.0,4.1,4.1,-0.77,0.01,0.6917,0.044,0.1844,200000.0,23.0,3.35804,0.12,9.6
5.0,201000.0,4.1,4.1,-0.73,0.01,0.68237,0.038,0.1805,201000.0,23.0,3.3212,0.12,9.2
5.0,202000.0,4.1,4.1,-0.74,0.01,0.67627,0.044,0.1792,202000.0,24.0,3.28879,0.1,9.6
5.0,203000.0,4.1,4.1,-0.74,0.01,0.66939,0.044,0.1755,203000.0,24.0,3.2504,0.1,9.6
5.0,204000.0,4.1,4.1,-0.74,0.01,0.66175,0.044,0.1749,204000.0,24.0,3.21526,0.13,8.8
5.0,205000.0,4.1,4.1,-0.74,0.01,0.6546,0.044,0.1709,205000.0,24.0,3.18294,0.1,8.8
5.0,206000.0,4.1,4.1,-0.74,0.01,0.64805,0.038,0.1683,206000.0,23.0,3.14746,0.11,8.8
5.0,207000.0,4.1,4.1,-0.75,0.01,0.64341,0.038,0.1666,207000.0,24.0,3.11224,0.12,8.8
5.0,208000.0,4.1,4.1,-0.76,0.01,0.6345,0.038,0.1653,207000.0,24.0,3.07805,0.1,8.8
5.0,209000.0,3.8,3.8,-0.76,0.01,0.62858,0.044,0.163,209000.0,23.0,3.0465,0.12,8.8
5.0,210000.0,4.1,4.1,-0.75,0.01,0.62289,0.038,0.1598,210000.0,24.0,3.02014,0.1,8.8
5.0,211000.0,4.1,4.1,-0.76,0.01,0.6165,0.038,0.1581,211000.0,24.0,2.9894,0.1,8.8
5.0,212000.0,4.1,4.1,-0.77,0.01,0.60943,0.038,0.1587,212000.0,23.0,2.94929,0.1,8.8
5.0,213000.0,3.8,3.8,-0.76,0.01,0.60514,0.031,0.1559,213000.0,24.0,2.91738,0.1,8.4
5.0,214000.0,3.4,3.4,-0.73,0.01,0.59999,0.044,0.1551,215000.0,24.0,2.89764,0.1,8.8
5.0,215000.0,4.1,3.4,-0.77,0.01,0.59351,0.038,0.1527,215000.0,24.0,2.86928,0.11,8.4
5.0,216000.0,3.4,3.4,-0.74,0.01,0.58878,0.031,0.1511,216000.0,24.0,2.8325,0.1,8.4
5.0,217000.0,3.4,3.4,-0.75,0.01,0.58398,0.038,0.1502,216000.0,24.0,2.80758,0.11,8.0
5.0,218000.0,3.4,3.1,-0.76,0.01,0.57726,0.038,0.1479,218000.0,24.0,2.78998,0.1,8.4
5.0,219000.0,3.4,3.1,-0.76,0.01,0.57201,0.044,0.1483,218000.0,24.0,2.75755,0.12,8.0
5.0,220000.0,3.4,3.4,-0.76,0.01,0.56949,0.031,0.1457,220000.0,24.0,2.73249,0.1,8.0
5.0,221000.0,3.4,3.1,-0.77,0.01,0.56375,0.044,0.1449,220000.0,24.0,2.7041,0.1,8.0
5.0,222000.0,3.4,3.1,-0.75,0.01,0.55854,0.038,0.142,222000.0,24.0,2.68152,0.1,8.0
5.0,223000.0,3.4,3.1,-0.75,0.016,0.55625,0.038,0.1407,223000.0,24.0,2.65726,0.1,8.0
5.0,224000.0,3.4,3.1,-0.75,0.01,0.55022,0.038,0.1395,224000.0,24.0,2.637,0.1,8.0
5.0,225000.0,3.4,3.1,-0.77,0.01,0.54531,0.038,0.1401,224000.0,23.0,2.61466,0.1,8.0
5.0,226000.0,3.4,3.1,-0.75,0.01,0.54208,0.038,0.1364,226000.0,24.0,2.59699,0.1,8.0
5.0,227000.0,3.4,3.1,-0.75,0.01,0.53812,0.038,0.1354,226000.0,24.0,2.5704,0.1,8.0
5.0,228000.0,3.4,3.1,-0.75,0.01,0.53407,0.031,0.1364,228000.0,24.0,2.54409,0.1,8.0
5.0,229000.0,3.4,3.1,-0.79,0.01,0.52825,0.031,0.1338,228000.0,24.0,2.52873,0.1,8.0
5.0,230000.0,3.4,3.1,-0.75,0.01,0.52607,0.038,0.132,230000.0,24.0,2.51449,0.09,7.6
5.0,231000.0,3.4,3.4,-0.74,0.01,0.52019,0.044,0.1317,230000.0,24.0,2.49215,0.11,7.6
5.0,232000.0,3.4,3.1,-0.76,0.01,0.51812,0.031,0.131,233000.0,24.0,2.46584,0.1,7.2
5.0,233000.0,3.4,3.1,-0.77,0.01,0.51432,0.031,0.1295,233000.0,24.0,2.45497,0.1,7.6
5.0,234000.0,3.4,3.1,-0.72,0.01,0.50914,0.038,0.1286,235000.0,23.0,2.42746,0.1,7.6
5.0,235000.0,3.4,3.1,-0.75,0.01,0.50575,0.031,0.1275,235000.0,24.0,2.41857,0.1,7.6
5.0,236000.0,3.4,3.1,-0.73,0.01,0.50177,0.038,0.1264,237000.0,24.0,2.39329,0.08,7.2
5.0,237000.0,3.4,3.1,-0.76,0.01,0.49856,0.031,0.1257,237000.0,24.0,2.38008,0.1,7.2
5.0,238000.0,3.4,3.1,-0.77,0.01,0.49735,0.031,0.1265,237000.0,24.0,2.35824,0.1,7.2
5.0,239000.0,3.4,3.1,-0.76,0.01,0.49221,0.031,0.1248,239000.0,24.0,2.34786,0.09,7.2
5.0,240000.0,3.4,3.1,-0.74,0.01,0.48756,0.031,0.1242,239000.0,24.0,2.32852,0.09,7.2
5.0,241000.0,3.4,3.1,-0.74,0.01,0.48643,0.031,0.123,242000.0,24.0,2.30967,0.1,7.2
5.0,242000.0,3.4,3.1,-0.73,0.01,0.48335,0.031,0.1214,242000.0,24.0,2.29246,0.09,7.2
5.0,243000.0,3.4,3.1,-0.75,0.01,0.47827,0.038,0.1217,244000.0,24.0,2.28058,0.1,7.2
5.0,244000.0,3.1,2.8,-0.75,0.01,0.47431,0.031,0.1189,244000.0,24.0,2.25767,0.09,7.2
5.0,245000.0,3.1,2.8,-0.75,0.016,0.474,0.038,0.12,244000.0,24.0,2.24362,0.09,7.2
5.0,246000.0,3.1,2.8,-0.73,0.01,0.47004,0.031,0.1201,246000.0,24.0,2.23203,0.09,7.2
5.0,247000.0,3.1,2.8,-0.76,0.01,0.46728,0.031,0.1169,246000.0,24.0,2.20769,0.1,7.2
5.0,248000.0,3.1,2.8,-0.74,0.01,0.46545,0.031,0.1178,249000.0,24.0,2.19196,0.09,7.2
5.0,249000.0,3.4,3.1,-0.77,0.01,0.46224,0.031,0.1166,249000.0,24.0,2.18796,0.09,7.2
5.0,250000.0,3.1,2.8,-0.75,0.01,0.45848,0.038,0.1176,250000.0,24.0,2.16777,0.09,7.2
5.0,251000.0,3.1,2.8,-0.75,0.01,0.45611,0.031,0.1175,251000.0,24.0,2.15449,0.1,7.2
5.0,252000.0,3.1,3.1,-0.75,0.016,0.45382,0.031,0.1166,251000.0,24.0,2.13926,0.09,7.2
5.0,253000.0,3.1,2.8,-0.74,0.01,0.44948,0.031,0.1135,254000.0,24.0,2.13273,0.09,7.2
5.0,254000.0,3.1,2.8,-0.75,0.01,0.44689,0.031,0.1124,254000.0,24.0,2.10957,0.09,6.8
5.0,255000.0,3.1,2.8,-0.74,0.01,0.44523,0.031,0.1125,255000.0,24.0,2.09616,0.09,7.2
5.0,256000.0,2.8,2.8,-0.75,0.01,0.44072,0.038,0.1115,256000.0,24.0,2.0831,0.1,6.8
5.0,257000.0,3.1,2.8,-0.77,0.01,0.43991,0.038,0.1118,256000.0,24.0,2.07386,0.09,7.2
5.0,258000.0,3.1,2.8,-0.75,0.01,0.43628,0.031,0.111,259000.0,24.0,2.05566,0.1,6.4
5.0,259000.0,3.1,2.8,-0.73,0.01,0.43292,0.031,0.1101,259000.0,24.0,2.03932,0.09,6.8
5.0,260000.0,3.1,2.8,-0.74,0.01,0.4319,0.031,0.1098,259000.0,24.0,2.02543,0.09,6.8
5.0,261000.0,3.4,2.8,-0.76,0.01,0.4291,0.031,0.1087,262000.0,24.0,2.0165,0.09,6.4
5.0,262000.0,2.8,2.8,-0.73,0.01,0.42789,0.031,0.109,262000.0,24.0,2.00279,0.09,6.8
