resistance_ohm,frequency_Hz,V_IN_V,I_IN_A,P_IN_W,I_OUT_A,V_OUT_V,P_OUT_W
5.0,346000.0,24.0033553,0.0275820734,0.662062307730879,0.2679232,1.338253,0.3585707
5.0,347000.0,24.0033259,0.0274890197,0.6598278985306202,0.2670049,1.337212,0.3570064
5.0,348000.0,24.0023138,0.0274103314,0.6579113756247933,0.2658642,1.336876,0.3555343
5.0,349000.0,24.0032084,0.0272255178,0.6534997775513095,0.2647733,1.326721,0.3513176
5.0,350000.0,24.0031157,0.0271370454,0.6513736404923528,0.2639623,1.325713,0.3499683
5.0,351000.0,24.0028437,0.0269558393,0.6470167975202173,0.2630096,1.315425,0.3461739
5.0,352000.0,24.0027555,0.0268722562,0.6450081953019591,0.2621647,1.314426,0.3445666
5.0,353000.0,24.0032486,0.0266890452,0.6406237868322368,0.2612762,1.303818,0.3407287
5.0,354000.0,24.0040908,0.026607769,0.6386953030614252,0.2603934,1.302767,0.3391148
5.0,355000.0,24.0036353,0.0265284274,0.6367786963921271,0.2591984,1.302031,0.3374288
5.0,356000.0,24.00356,0.0263569987,0.632661799715372,0.2584251,1.29201,0.3338471
5.0,357000.0,24.0033287,0.0262791256,0.6307864897253848,0.2572627,1.290928,0.3321802
5.0,358000.0,24.0030056,0.0261102896,0.6267254274864218,0.2564455,1.280925,0.3285871
5.0,359000.0,24.0031858,0.0260329116,0.6248728140497753,0.2554538,1.279915,0.3270524
5.0,360000.0,24.0026305,0.0258544211,0.6205741164547035,0.2546013,1.278939,0.3255229
5.0,361000.0,24.0039298,0.0257809264,0.6188435474845668,0.2538215,1.267671,0.3218395
5.0,362000.0,24.0025767,0.0256167058,0.6148669457658348,0.2527568,1.257627,0.3179359
5.0,363000.0,24.0037585,0.0255468218,0.6132197409297353,0.2519151,1.256706,0.3165111
5.0,364000.0,24.0032782,0.025489968,0.6118427932130975,0.2511078,1.257047,0.3154884
5.0,365000.0,24.003064,0.0254187755,0.6101284951281319,0.2502164,1.256065,0.3142676
5.0,366000.0,24.0027527,0.0252617352,0.606351182778485,0.2494676,1.246185,0.3109698
5.0,367000.0,24.0033934,0.025193802,0.6047367406477069,0.2487059,1.245166,0.3096521
5.0,368000.0,24.0037128,0.0250268757,0.6007379365840989,0.247751,1.233911,0.3055366
5.0,369000.0,24.0032825,0.0249662007,0.5992707683537978,0.2467648,1.233314,0.3044648
5.0,370000.0,24.003235,0.0248112103,0.5955493114653205,0.2460643,1.223199,0.3009805
5.0,371000.0,24.0024013,0.0247477236,0.5940047931086807,0.2453422,1.222243,0.2999237
5.0,372000.0,24.0039388,0.0246907468,0.5926751751134959,0.244598,1.221794,0.298809
5.0,373000.0,24.0037464,0.0245693537,0.5897565354267017,0.2436165,1.214735,0.296022
5.0,374000.0,24.0034723,0.0245102658,0.5883314861959373,0.2429603,1.213954,0.2947908
5.0,375000.0,24.0032555,0.0244502493,0.5868855809865962,0.2421706,1.213096,0.293707
5.0,376000.0,24.0031807,0.0243059323,0.5834196850788667,0.2416154,1.203194,0.2905036
5.0,377000.0,24.0030752,0.0242487762,0.5820451986365702,0.2406259,1.202242,0.2892288
5.0,378000.0,24.0031563,0.0241912392,0.580666095608287,0.2399137,1.201442,0.2882133
5.0,379000.0,24.0024639,0.0240501867,0.5772637380550101,0.2392305,1.191582,0.2849987
